iter	Logloss
0	0.6918752895
1	0.689609191
2	0.6863559274
3	0.6846955243
4	0.6833976297
5	0.6819717744
6	0.6808802661
7	0.679635104
8	0.6780985664
9	0.6769936505
10	0.6756719701
11	0.6743922514
12	0.672943564
13	0.6702879176
14	0.6685893115
15	0.6670906964
16	0.6657760845
17	0.6643675075
18	0.6632261276
19	0.6610697578
20	0.6597742193
21	0.6572263381
22	0.6560850704
23	0.6539729623
24	0.6523758383
25	0.6505148271
26	0.6494937785
27	0.6476541407
28	0.6459281585
29	0.643684275
30	0.6426185159
31	0.6409295587
32	0.6390847038
33	0.6369758494
34	0.636139477
35	0.6349648868
36	0.6323489021
37	0.6305076936
38	0.6293259789
39	0.6278708402
40	0.6255626678
41	0.6234323838
42	0.6209057079
43	0.6194824892
44	0.6183609682
45	0.6172329398
46	0.6156083275
47	0.6147276373
48	0.6137465309
49	0.6126776303
50	0.6113465253
51	0.6102434046
52	0.6089524662
53	0.6070373199
54	0.6059873244
55	0.6052370632
56	0.6033556321
57	0.6016321743
58	0.600736618
59	0.5991659725
60	0.5975336748
61	0.5965377022
62	0.5953976687
63	0.5943208021
64	0.5931526633
65	0.5908543082
66	0.5898705651
67	0.5878908494
68	0.586819817
69	0.5847518584
70	0.5837000679
71	0.5827371934
72	0.5818439371
73	0.5809100656
74	0.5796457178
75	0.5785231871
76	0.5764266743
77	0.5741423439
78	0.5716741786
79	0.5695902881
80	0.5688143337
81	0.5679909762
82	0.5670233334
83	0.5660430123
84	0.5652067521
85	0.5636822196
86	0.5628902211
87	0.560797523
88	0.5598140604
89	0.5584229301
90	0.5573369194
91	0.5565579358
92	0.5558284872
93	0.5541724598
94	0.5534098569
95	0.5517127093
96	0.5505901785
97	0.5496697145
98	0.5488837747
99	0.5478240181
100	0.5460319519
101	0.545207809
102	0.5433768104
103	0.5426939796
104	0.5418826832
105	0.5410254983
106	0.5400264964
107	0.5392682693
108	0.5385521159
109	0.5370310054
110	0.5362896639
111	0.5353428336
112	0.5343954423
113	0.5335497015
114	0.5327033997
115	0.5320037954
116	0.5313495187
117	0.5304163765
118	0.5295527402
119	0.5287166483
120	0.5278743856
121	0.5271537444
122	0.5263296015
123	0.5244567535
124	0.5236630159
125	0.522135398
126	0.5214909385
127	0.5204886268
128	0.5185432434
129	0.5172037237
130	0.516051629
131	0.5147716298
132	0.5140793744
133	0.5127705967
134	0.5120159598
135	0.5113846274
136	0.5098216674
137	0.5089811437
138	0.5082978641
139	0.5077448452
140	0.5068057565
141	0.5059587815
142	0.5053562277
143	0.5040054321
144	0.5031328762
145	0.5017972273
146	0.5011481678
147	0.4999228085
148	0.4990730847
149	0.4984519622
