iter	Passed	Remaining
0	12	1933
1	16	1250
2	18	910
3	30	1113
4	43	1255
5	56	1354
6	69	1424
7	80	1420
8	91	1440
9	105	1471
10	117	1486
11	129	1494
12	140	1481
13	144	1407
14	155	1398
15	167	1402
16	180	1412
17	194	1428
18	206	1422
19	209	1362
20	222	1368
21	225	1312
22	238	1316
23	243	1278
24	256	1280
25	268	1278
26	278	1268
27	285	1243
28	298	1247
29	304	1218
30	317	1217
31	328	1212
32	332	1180
33	338	1153
34	351	1155
35	364	1154
36	366	1120
37	373	1101
38	385	1097
39	398	1095
40	399	1062
41	404	1039
42	405	1009
43	416	1002
44	428	999
45	441	998
46	448	982
47	460	978
48	474	977
49	488	976
50	494	960
51	507	956
52	521	954
53	523	931
54	537	928
55	550	923
56	553	903
57	556	883
58	569	878
59	581	872
60	584	852
61	597	847
62	610	842
63	623	838
64	635	830
65	636	810
66	647	802
67	651	785
68	663	778
69	665	760
70	676	752
71	688	746
72	702	740
73	715	734
74	727	727
75	739	720
76	740	702
77	741	684
78	743	667
79	745	652
80	758	646
81	770	639
82	782	631
83	794	624
84	807	617
85	810	603
86	823	596
87	824	581
88	837	573
89	848	565
90	857	556
91	870	548
92	883	541
93	885	527
94	898	520
95	900	506
96	913	499
97	924	490
98	934	481
99	947	473
100	948	460
101	961	452
102	962	439
103	974	430
104	985	422
105	996	413
106	1008	405
107	1021	397
108	1032	388
109	1035	376
110	1046	367
111	1057	358
112	1069	350
113	1081	341
114	1090	331
115	1104	323
116	1116	314
117	1127	305
118	1137	296
119	1150	287
120	1162	278
121	1174	269
122	1183	259
123	1185	248
124	1196	239
125	1197	228
126	1209	219
127	1212	208
128	1213	197
129	1216	187
130	1222	177
131	1224	166
132	1236	158
133	1237	147
134	1249	138
135	1260	129
136	1262	119
137	1268	110
138	1279	101
139	1290	92
140	1300	83
141	1313	73
142	1324	64
143	1325	55
144	1334	46
145	1338	36
146	1347	27
147	1351	18
148	1361	9
149	1373	0
